,Location,No. of Bedrooms,City,price_lack
201,Jalahalli,2.0,Banglore,7252000
202,Jalahalli,3.0,Banglore,9037000
203,Jalahalli,2.0,Banglore,7298000
204,Jalahalli,3.0,Banglore,10400000
205,Jalahalli,3.0,Banglore,9520000
206,Jalahalli,2.0,Banglore,7229000
207,Jalahalli,3.0,Banglore,9887000
208,Jalahalli,3.0,Banglore,10300000
209,Jalahalli,2.0,Banglore,7159999
210,Jalahalli,3.0,Banglore,10700000
211,Jalahalli,3.0,Banglore,8900000
212,Jalahalli,3.0,Banglore,9382000
213,Jalahalli,2.0,Banglore,7344000
214,Jalahalli,2.0,Banglore,7091000
215,Kasavanahalli,3.0,Banglore,6279000
216,Kasavanahalli,2.0,Banglore,5306000
217,Kasavanahalli,3.0,Banglore,6655000
218,Kasavanahalli,2.0,Banglore,5195000
219,Kasavanahalli,2.0,Banglore,5483000
220,Kasavanahalli,2.0,Banglore,5527000
221,Kasavanahalli,3.0,Banglore,6412000
222,Kasavanahalli,3.0,Banglore,6036000
223,Kasavanahalli,2.0,Banglore,4930000
224,Kasavanahalli,3.0,Banglore,6611000
225,Kasavanahalli,2.0,Banglore,5173000
226,Kasavanahalli,3.0,Banglore,6058000
227,Kasavanahalli,3.0,Banglore,6279000
228,Kasavanahalli,2.0,Banglore,5085000
229,Kasavanahalli,3.0,Banglore,6434000
230,Kasavanahalli,2.0,Banglore,5262000
231,Whitefield Hope Farm Junction,3.0,Banglore,6681999
232,Whitefield Hope Farm Junction,3.0,Banglore,6525000
233,Whitefield Hope Farm Junction,3.0,Banglore,6997000
234,Whitefield Hope Farm Junction,3.0,Banglore,6097000
235,Whitefield Hope Farm Junction,3.0,Banglore,6120000
236,Whitefield Hope Farm Junction,3.0,Banglore,6142000
237,Whitefield Hope Farm Junction,3.0,Banglore,6727000
238,Whitefield Hope Farm Junction,3.0,Banglore,6277000
239,Whitefield Hope Farm Junction,3.0,Banglore,6750000
240,Whitefield Hope Farm Junction,3.0,Banglore,6456999
241,Bommasandra,3.0,Banglore,5240000
242,Bommasandra,2.0,Banglore,4120000
243,Bellandur,3.0,Banglore,7012000
244,Bellandur,3.0,Banglore,8195000
245,RR Nagar,3.0,Banglore,8050000
246,RR Nagar,2.0,Banglore,5900000
247,RR Nagar,3.0,Banglore,8100000
248,RR Nagar,2.0,Banglore,6400000
249,RR Nagar,2.0,Banglore,6275000
250,Whitefield Hope Farm Junction,3.0,Banglore,14400000
251,Whitefield Hope Farm Junction,3.0,Banglore,13700000
252,Whitefield Hope Farm Junction,3.0,Banglore,11399999
253,Begur,2.0,Banglore,4500000
254,Bommasandra,3.0,Banglore,5240000
255,Bommasandra,2.0,Banglore,4120000
256,JP Nagar Phase 1,4.0,Banglore,29600000
257,Varthur,2.0,Banglore,8954000
258,Varthur,2.0,Banglore,8800000
259,Varthur,3.0,Banglore,15400000
260,Varthur,3.0,Banglore,11000000
261,Uttarahalli,3.0,Banglore,5267000
262,Uttarahalli,2.0,Banglore,3507000
263,Uttarahalli,3.0,Banglore,4816000
264,Uttarahalli,2.0,Banglore,4312000
265,Uttarahalli,3.0,Banglore,5295000
266,Uttarahalli,2.0,Banglore,3696000
267,Uttarahalli,2.0,Banglore,4140000
268,Uttarahalli,2.0,Banglore,3832000
269,Uttarahalli,2.0,Banglore,3377000
270,Uttarahalli,3.0,Banglore,4560000
271,Uttarahalli,3.0,Banglore,5015000
272,Uttarahalli,2.0,Banglore,3769000
273,Uttarahalli,2.0,Banglore,3447000
274,Uttarahalli,3.0,Banglore,4956000
275,Uttarahalli,3.0,Banglore,5323000
276,Uttarahalli,2.0,Banglore,3954999
277,Uttarahalli,2.0,Banglore,3419000
278,Uttarahalli,3.0,Banglore,5351000
279,Uttarahalli,3.0,Banglore,4434000
280,Hosa Road,3.0,Banglore,9453000
281,Sahakar Nagar,2.0,Banglore,15000000
282,Sahakar Nagar,1.0,Banglore,8900000
283,Sahakar Nagar,2.0,Banglore,14400000
284,Sahakar Nagar,2.0,Banglore,12700000
285,Sahakar Nagar,3.0,Banglore,12500000
286,Sahakar Nagar,4.0,Banglore,20099999
287,Sahakar Nagar,3.0,Banglore,18800000
288,Sahakar Nagar,2.0,Banglore,13700000
289,Sahakar Nagar,3.0,Banglore,18900000
290,Avalahalli Off Sarjapur Road,3.0,Banglore,8500000
291,Hosa Road,3.0,Banglore,9000000
292,Varthur,3.0,Banglore,9300000
293,Uttarahalli,3.0,Banglore,11000000
294,Bilekahalli,3.0,Banglore,18000000
295,Bilekahalli,4.0,Banglore,29300000
296,Bilekahalli,3.0,Banglore,22799999
297,R T  Nagar,1.0,Banglore,3200000
298,R T  Nagar,1.0,Banglore,3200000
299,JP Nagar Phase 7,2.0,Banglore,11000000
300,Subramanyapura,3.0,Banglore,9800000
301,JP Nagar Phase 4,4.0,Banglore,42500000
302,Sahakar Nagar,3.0,Banglore,13500000
303,JP Nagar Phase 7,3.0,Banglore,15600000
304,Sahakar Nagar,3.0,Banglore,18900000
305,Sahakar Nagar,2.0,Banglore,15400000
306,Sahakar Nagar,2.0,Banglore,12300000
307,JP Nagar Phase 8,2.0,Banglore,6845999
308,JP Nagar Phase 8,3.0,Banglore,9173000
309,JP Nagar Phase 8,3.0,Banglore,9471000
310,JP Nagar Phase 8,2.0,Banglore,7247000
311,Amruthahalli,2.0,Banglore,5599000
312,Sahakar Nagar,1.0,Banglore,11800000
313,Horamavu,2.0,Banglore,4815000
314,Horamavu,2.0,Banglore,4880000
315,Horamavu,2.0,Banglore,5050000
316,Horamavu,2.0,Banglore,4619000
317,Horamavu,2.0,Banglore,4785000
318,Horamavu,2.0,Banglore,4972000
319,Horamavu,2.0,Banglore,4737000
320,Horamavu,2.0,Banglore,4854000
321,Banashankari,4.0,Banglore,28300000
322,Banashankari,3.0,Banglore,21400000
323,Banashankari,3.0,Banglore,23500000
324,Banashankari,4.0,Banglore,29900000
325,RR Nagar,2.0,Banglore,9200000
326,RR Nagar,2.0,Banglore,8000000
327,RR Nagar,2.0,Banglore,9200000
328,RR Nagar,2.0,Banglore,8000000
329,RR Nagar,2.0,Banglore,8000000
330,RR Nagar,2.0,Banglore,9300000
331,RR Nagar,2.0,Banglore,7900000
332,RR Nagar,2.0,Banglore,9200000
333,RR Nagar,2.0,Banglore,9100000
334,RR Nagar,2.0,Banglore,9000000
335,RR Nagar,2.0,Banglore,7900000
336,RR Nagar,2.0,Banglore,7900000
337,RR Nagar,2.0,Banglore,8000000
338,RR Nagar,2.0,Banglore,7800000
339,RR Nagar,2.0,Banglore,9200000
340,RR Nagar,2.0,Banglore,9100000
341,RR Nagar,2.0,Banglore,9100000
342,RR Nagar,2.0,Banglore,9000000
343,RR Nagar,2.0,Banglore,7900000
344,RR Nagar,2.0,Banglore,8800000
345,Kengeri,3.0,Banglore,3990000
346,Kengeri,3.0,Banglore,4021000
347,Kengeri,3.0,Banglore,4088000
348,Begur,2.0,Banglore,9060000
349,Begur,2.0,Banglore,8644000
350,Begur,2.0,Banglore,8836000
351,Begur,3.0,Banglore,10200000
352,Begur,2.0,Banglore,8528000
353,Begur,2.0,Banglore,8516000
354,Begur,2.0,Banglore,8804000
355,Begur,3.0,Banglore,9910000
356,Ramamurthy Nagar,3.0,Banglore,7634000
357,Ramamurthy Nagar,2.0,Banglore,5970000
358,Ramamurthy Nagar,3.0,Banglore,7675000
359,Ramamurthy Nagar,2.0,Banglore,5702000
360,Ramamurthy Nagar,2.0,Banglore,6210000
361,Attibele,2.0,Banglore,2520000
362,Attibele,3.0,Banglore,3304000
363,Attibele,3.0,Banglore,3010000
364,Attibele,2.0,Banglore,2800000
365,Attibele,2.0,Banglore,2464000
366,Kadugodi,2.0,Banglore,5557000
367,Kadugodi,3.0,Banglore,11900000
368,Kadugodi,3.0,Banglore,7738000
369,Kadugodi,2.0,Banglore,6354000
370,Kadugodi,1.0,Banglore,2814000
371,Kadugodi,2.0,Banglore,5463000
372,Kadugodi,3.0,Banglore,7456999
373,Kadugodi,2.0,Banglore,5416000
374,Kadugodi,3.0,Banglore,11700000
375,Kadugodi,2.0,Banglore,5604000
376,Kadugodi,3.0,Banglore,7175000
377,Kadugodi,3.0,Banglore,7504000
378,Kadugodi,2.0,Banglore,5628000
379,Nagarbhavi,2.0,Banglore,5200000
380,Nagarbhavi,2.0,Banglore,5200000
381,Kodigehalli,2.0,Banglore,6385000
382,Banaswadi,2.0,Banglore,6531999
383,Banaswadi,3.0,Banglore,9457000
384,Banaswadi,3.0,Banglore,9035000
385,Banaswadi,2.0,Banglore,6662000
386,Banaswadi,2.0,Banglore,7181999
387,Banaswadi,2.0,Banglore,7377000
388,Whitefield Hope Farm Junction,3.0,Banglore,7125000
389,Kodigehalli,2.0,Banglore,6389000
390,Kodigehalli,2.0,Banglore,6459000
391,ITPL,3.0,Banglore,11800000
392,ITPL,3.0,Banglore,11500000
393,ITPL,2.0,Banglore,7920000
394,ITPL,3.0,Banglore,10700000
395,ITPL,3.0,Banglore,10600000
396,ITPL,2.0,Banglore,8464000
397,ITPL,2.0,Banglore,8184000
398,ITPL,3.0,Banglore,10100000
399,ITPL,2.0,Banglore,8178000
400,ITPL,3.0,Banglore,11299999
401,ITPL,3.0,Banglore,10100000
402,ITPL,2.0,Banglore,8289000
403,ITPL,2.0,Banglore,7856000
404,ITPL,2.0,Banglore,8254000
405,ITPL,2.0,Banglore,7820999
406,ITPL,3.0,Banglore,11700000
407,ITPL,3.0,Banglore,10500000
408,ITPL,3.0,Banglore,10300000
409,JP Nagar Phase 8,2.0,Banglore,4455000
410,JP Nagar Phase 8,2.0,Banglore,4905000
411,Vidyaranyapura,2.0,Banglore,5550000
412,Vidyaranyapura,2.0,Banglore,4500000
413,JP Nagar Phase 7,3.0,Banglore,20700000
414,Sarjapur,3.0,Banglore,3999000
415,Sarjapur,3.0,Banglore,3522000
416,Sarjapur,2.0,Banglore,2874000
417,Attibele,3.0,Banglore,3682000
418,Attibele,3.0,Banglore,3427000
419,Attibele,3.0,Banglore,3932000
420,Attibele,3.0,Banglore,3822000
421,Attibele,2.0,Banglore,2487000
422,JP Nagar Phase 8,3.0,Banglore,5580000
423,JP Nagar Phase 8,3.0,Banglore,5130000
424,Nagarbhavi,2.0,Banglore,4910000
425,Nagarbhavi,2.0,Banglore,4910000
426,Electronic City Phase 1,3.0,Banglore,4342000
427,Electronic City Phase 1,2.0,Banglore,3338000
428,Electronic City Phase 1,2.0,Banglore,2578000
429,Electronic City Phase 1,2.0,Banglore,3415000
430,Electronic City Phase 1,2.0,Banglore,3114000
431,Electronic City Phase 1,2.0,Banglore,2879000
432,Electronic City Phase 1,3.0,Banglore,4485000
433,Electronic City Phase 1,2.0,Banglore,3124000
434,Electronic City Phase 1,3.0,Banglore,4713000
435,Electronic City Phase 1,2.0,Banglore,4517000
436,Electronic City Phase 1,3.0,Banglore,4734000
437,Electronic City Phase 1,2.0,Banglore,3159000
438,Electronic City Phase 1,3.0,Banglore,4219000
439,Electronic City Phase 1,3.0,Banglore,4734000
440,Electronic City Phase 1,2.0,Banglore,2578000
441,Electronic City Phase 1,2.0,Banglore,3645000
442,Electronic City Phase 1,2.0,Banglore,4342000
443,Electronic City Phase 1,1.0,Banglore,2253000
444,Electronic City Phase 1,2.0,Banglore,2893000
445,Electronic City Phase 1,2.0,Banglore,2614000
446,Nagarbhavi,3.0,Banglore,10500000
447,Electronic City Phase 1,3.0,Banglore,4867000
448,Electronic City Phase 1,3.0,Banglore,4735000
449,Electronic City Phase 1,2.0,Banglore,2653000
450,Electronic City Phase 1,2.0,Banglore,2862000
451,Electronic City Phase 1,2.0,Banglore,3339000
452,Electronic City Phase 1,2.0,Banglore,2962000
453,Electronic City Phase 1,2.0,Banglore,2880000
454,Electronic City Phase 1,1.0,Banglore,2318000
455,Electronic City Phase 1,2.0,Banglore,2254000
456,Electronic City Phase 1,1.0,Banglore,2254000
457,Electronic City Phase 1,2.0,Banglore,2973000
458,Electronic City Phase 1,3.0,Banglore,4870000
459,Electronic City Phase 1,2.0,Banglore,2781000
460,Electronic City Phase 1,3.0,Banglore,4713000
461,Electronic City Phase 1,2.0,Banglore,2613000
462,Electronic City Phase 1,3.0,Banglore,4562000
463,Electronic City Phase 1,2.0,Banglore,4783000
464,Electronic City Phase 1,2.0,Banglore,4342000
465,Electronic City Phase 1,2.0,Banglore,2879000
466,Electronic City Phase 2,3.0,Banglore,5045000
467,Electronic City Phase 2,2.0,Banglore,4362000
468,Electronic City Phase 2,3.0,Banglore,5500000
469,Electronic City Phase 2,2.0,Banglore,4565000
470,Electronic City Phase 2,2.0,Banglore,4000000
471,Electronic City Phase 2,3.0,Banglore,4800000
472,Electronic City Phase 2,2.0,Banglore,4485000
473,Electronic City Phase 2,2.0,Banglore,4011999
474,Electronic City Phase 2,2.0,Banglore,4520000
475,Electronic City Phase 2,2.0,Banglore,4292000
476,Electronic City Phase 2,3.0,Banglore,4730000
477,Electronic City Phase 2,3.0,Banglore,4975000
478,Electronic City Phase 2,3.0,Banglore,4905000
479,Electronic City Phase 2,2.0,Banglore,4222000
480,Electronic City Phase 2,2.0,Banglore,3995000
481,Nagarbhavi,2.0,Banglore,4700000
482,Sarjapur,3.0,Banglore,3579000
483,Sarjapur,2.0,Banglore,3372000
484,Sarjapur,2.0,Banglore,2922000
485,Sarjapur,2.0,Banglore,2844000
486,Sarjapur,2.0,Banglore,2901000
487,Sarjapur,2.0,Banglore,2820000
488,Sarjapur,3.0,Banglore,4458000
489,Sarjapur,3.0,Banglore,3483000
490,Sarjapur,3.0,Banglore,3699000
491,Sarjapur,3.0,Banglore,3906000
492,Sarjapur,2.0,Banglore,2889000
493,Sarjapur,2.0,Banglore,3429000
494,Sarjapur,3.0,Banglore,4164000
495,Sarjapur,2.0,Banglore,3384000
496,Attibele,2.0,Banglore,2935000
497,Attibele,3.0,Banglore,4097000
498,Attibele,2.0,Banglore,3202000
499,Attibele,2.0,Banglore,2867000
500,Attibele,3.0,Banglore,3411999
501,Bommasandra,2.0,Banglore,2436000
502,Bommasandra,2.0,Banglore,2800000
503,Chandapura,3.0,Banglore,3010000
504,Chandapura,2.0,Banglore,2520000
505,Chandapura,2.0,Banglore,3038000
506,Attibele,3.0,Banglore,3010000
507,Ramamurthy Nagar,1.0,Banglore,3177000
508,Bellandur,2.0,Banglore,7200000
509,Thanisandra,3.0,Banglore,20400000
510,Thanisandra,3.0,Banglore,17600000
511,JP Nagar Phase 7,3.0,Banglore,20200000
512,Krishnarajapura,2.0,Banglore,4002000
513,Krishnarajapura,2.0,Banglore,4568000
514,Krishnarajapura,2.0,Banglore,4056000
515,Krishnarajapura,2.0,Banglore,4303000
516,Krishnarajapura,2.0,Banglore,4299000
517,Krishnarajapura,2.0,Banglore,4541000
518,Krishnarajapura,2.0,Banglore,4210000
519,Krishnarajapura,2.0,Banglore,4195000
520,Krishnarajapura,2.0,Banglore,4226000
521,Krishnarajapura,2.0,Banglore,4638000
522,Krishnarajapura,3.0,Banglore,4699000
523,Krishnarajapura,2.0,Banglore,4426000
524,Krishnarajapura,2.0,Banglore,3925000
525,Krishnarajapura,2.0,Banglore,4345000
526,Krishnarajapura,2.0,Banglore,4086999
527,Krishnarajapura,2.0,Banglore,4076000
528,Krishnarajapura,2.0,Banglore,4072000
529,Krishnarajapura,2.0,Banglore,4614000
530,Jigani,3.0,Banglore,4054000
531,Jigani,3.0,Banglore,3500000
532,Jigani,3.0,Banglore,4165999
533,Jigani,2.0,Banglore,3068000
534,Jigani,3.0,Banglore,4174000
535,Jigani,2.0,Banglore,3052000
536,Jigani,2.0,Banglore,3085000
537,Jigani,2.0,Banglore,3264000
538,Jigani,2.0,Banglore,2576000
539,Jigani,2.0,Banglore,3197000
540,Jigani,3.0,Banglore,4342000
541,Jigani,2.0,Banglore,3178000
542,Marsur,3.0,Banglore,3913000
543,Marsur,3.0,Banglore,3561999
544,Jigani,3.0,Banglore,4292000
545,Marsur,2.0,Banglore,2899000
546,Marsur,2.0,Banglore,2925000
547,Jigani,2.0,Banglore,2984000
548,Marsur,3.0,Banglore,3809000
549,Krishnarajapura,3.0,Banglore,6698000
550,Krishnarajapura,2.0,Banglore,4958000
551,Krishnarajapura,2.0,Banglore,4958000
552,Krishnarajapura,2.0,Banglore,4878000
553,Krishnarajapura,2.0,Banglore,4878000
554,Krishnarajapura,2.0,Banglore,4898000
555,Krishnarajapura,2.0,Banglore,4898000
556,Krishnarajapura,2.0,Banglore,5078000
557,Krishnarajapura,2.0,Banglore,5078000
558,Kasavanahalli,2.0,Banglore,4500000
559,Attibele,3.0,Banglore,3010000
560,Attibele,2.0,Banglore,2436000
561,Attibele,2.0,Banglore,2800000
562,Attibele,3.0,Banglore,3388000
563,Attibele,2.0,Banglore,2520000
564,Attibele,2.0,Banglore,3038000
565,Attibele,2.0,Banglore,2464000
566,Kasavanahalli,2.0,Banglore,4500000
567,Varthur,2.0,Banglore,4928000
568,Bommasandra,3.0,Banglore,4147000
569,JP Nagar Phase 3,3.0,Banglore,7211000
570,JP Nagar Phase 3,2.0,Banglore,5910000
571,JP Nagar Phase 3,3.0,Banglore,7423000
572,JP Nagar Phase 3,3.0,Banglore,9227000
573,JP Nagar Phase 3,3.0,Banglore,7263000
574,JP Nagar Phase 3,2.0,Banglore,6494000
575,JP Nagar Phase 3,3.0,Banglore,8458000
576,JP Nagar Phase 3,3.0,Banglore,9094000
577,JP Nagar Phase 3,3.0,Banglore,7847000
578,JP Nagar Phase 3,2.0,Banglore,6520999
579,JP Nagar Phase 3,3.0,Banglore,7184000
580,JP Nagar Phase 3,2.0,Banglore,5858000
581,JP Nagar Phase 3,3.0,Banglore,7689000
582,JP Nagar Phase 3,3.0,Banglore,6415000
583,JP Nagar Phase 3,2.0,Banglore,5752000
584,JP Nagar Phase 3,2.0,Banglore,6388000
585,JP Nagar Phase 3,3.0,Banglore,7078000
586,JP Nagar Phase 3,2.0,Banglore,5804000
587,JP Nagar Phase 3,3.0,Banglore,11200000
588,JP Nagar Phase 3,3.0,Banglore,7608000
589,JP Nagar Phase 3,2.0,Banglore,6361000
590,JP Nagar Phase 3,3.0,Banglore,8192000
591,JP Nagar Phase 3,2.0,Banglore,6255000
592,JP Nagar Phase 3,3.0,Banglore,8830000
593,JP Nagar Phase 3,3.0,Banglore,9517000
